text,label
Komponen dari batch B874 datang dengan goresan di permukaan.,produk_cacat
"Pesanan PO-58384 belum sampai, sudah lewat 4 hari dari estimasi.",keterlambatan_pengiriman
Kami ingin retur PO-39308 karena salah spesifikasi saat pemesanan.,retur_barang
"Pesanan PO-66733 belum sampai, sudah lewat 7 hari dari estimasi.",keterlambatan_pengiriman
Beberapa unit dari batch B610 tidak berfungsi saat uji pasang.,produk_cacat
Komponen dari batch B671 datang dengan goresan di permukaan.,produk_cacat
Beberapa unit dari batch B512 tidak berfungsi saat uji pasang.,produk_cacat
"Ukuran part pada PO-90370 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
"Pesanan PO-89904 belum sampai, sudah lewat 3 hari dari estimasi.",keterlambatan_pengiriman
Beberapa unit dari batch B496 tidak berfungsi saat uji pasang.,produk_cacat
Kapan estimasi baru untuk pengiriman PO-44341? Sudah telat 7 hari.,keterlambatan_pengiriman
Kami ingin retur PO-42331 karena salah spesifikasi saat pemesanan.,retur_barang
Kami ingin retur PO-71766 karena salah spesifikasi saat pemesanan.,retur_barang
"Pesanan PO-12679 belum sampai, sudah lewat 4 hari dari estimasi.",keterlambatan_pengiriman
Beberapa unit dari batch B589 tidak berfungsi saat uji pasang.,produk_cacat
Kami ingin retur PO-38992 karena salah spesifikasi saat pemesanan.,retur_barang
Komponen dari batch B827 datang dengan goresan di permukaan.,produk_cacat
"Ukuran part pada PO-71625 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
Kami ingin retur PO-36128 karena salah spesifikasi saat pemesanan.,retur_barang
Kapan estimasi baru untuk pengiriman PO-13908? Sudah telat 3 hari.,keterlambatan_pengiriman
"Pesanan PO-96696 belum sampai, sudah lewat 6 hari dari estimasi.",keterlambatan_pengiriman
Kami ingin retur PO-28575 karena salah spesifikasi saat pemesanan.,retur_barang
Kami ingin retur PO-87874 karena salah spesifikasi saat pemesanan.,retur_barang
Komponen dari batch B289 datang dengan goresan di permukaan.,produk_cacat
"Ukuran part pada PO-62416 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
"Pesanan PO-27028 belum sampai, sudah lewat 3 hari dari estimasi.",keterlambatan_pengiriman
Kami ingin retur PO-94474 karena salah spesifikasi saat pemesanan.,retur_barang
"Pesanan PO-18964 belum sampai, sudah lewat 1 hari dari estimasi.",keterlambatan_pengiriman
Kapan estimasi baru untuk pengiriman PO-81379? Sudah telat 6 hari.,keterlambatan_pengiriman
"Pesanan PO-37869 belum sampai, sudah lewat 1 hari dari estimasi.",keterlambatan_pengiriman
"Ukuran part pada PO-97207 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
"Pesanan PO-58493 belum sampai, sudah lewat 8 hari dari estimasi.",keterlambatan_pengiriman
Komponen dari batch B762 datang dengan goresan di permukaan.,produk_cacat
Komponen dari batch B516 datang dengan goresan di permukaan.,produk_cacat
"Pesanan PO-89764 belum sampai, sudah lewat 6 hari dari estimasi.",keterlambatan_pengiriman
Komponen dari batch B871 datang dengan goresan di permukaan.,produk_cacat
"Mengajukan retur untuk batch B721, kondisi barang tidak sesuai pesanan.",retur_barang
"Mengajukan retur untuk batch B917, kondisi barang tidak sesuai pesanan.",retur_barang
"Ukuran part pada PO-88880 tidak sesuai spesifikasi, meleset dari toleransi.",produk_cacat
Kami ingin retur PO-66754 karena salah spesifikasi saat pemesanan.,retur_barang
Kami ingin retur PO-43429 karena salah spesifikasi saat pemesanan.,retur_barang
Kapan estimasi baru untuk pengiriman PO-63235? Sudah telat 1 hari.,keterlambatan_pengiriman
