minggu,biaya_maintenance_idr,biaya_kompensasi_cs_idr,vendor_pending_count,total_biaya_operasional_idr
2025-09-01,3903233.0,0.0,13,3903233.0
2025-09-08,2224489.0,0.0,13,2224489.0
2025-09-15,2265484.0,0.0,13,2265484.0
2025-09-22,3979307.0,0.0,13,3979307.0
2025-09-29,1999506.0,0.0,13,1999506.0
2025-10-06,1500509.0,0.0,13,1500509.0
2025-10-13,2454695.0,0.0,13,2454695.0
2025-10-20,2734876.0,0.0,13,2734876.0
2025-10-27,2203118.0,0.0,13,2203118.0
2025-11-03,3149207.0,0.0,13,3149207.0
2025-11-10,3352430.0,0.0,13,3352430.0
2025-11-17,2451429.0,0.0,13,2451429.0
2025-11-24,2772914.0,0.0,13,2772914.0
2025-12-01,1652340.0,0.0,13,1652340.0
2025-12-08,3388136.0,0.0,13,3388136.0
2025-12-15,3060165.0,0.0,13,3060165.0
2025-12-22,1968248.0,0.0,13,1968248.0
2025-12-29,3009225.0,0.0,13,3009225.0
2026-01-05,3183996.0,0.0,13,3183996.0
2026-01-12,1935140.0,0.0,13,1935140.0
2026-01-19,1749576.0,0.0,13,1749576.0
2026-01-26,4817326.0,0.0,13,4817326.0
2026-02-02,1237552.0,0.0,13,1237552.0
2026-02-09,1682697.0,0.0,13,1682697.0
2026-02-16,3706089.0,0.0,13,3706089.0
2026-02-23,1863808.0,0.0,13,1863808.0
2026-03-30,0.0,6300000.0,13,6300000.0
2026-04-06,0.0,10950000.0,13,10950000.0
2026-04-13,0.0,9200000.0,13,9200000.0
2026-04-20,0.0,7600000.0,13,7600000.0
