ticket_id,tanggal,pelanggan,kategori,isi_komplain,waktu_respons_jam,status_resolusi
TCK-00001,2026-04-01 00:00:00,PT Mitra Suku Cadang,keterlambatan_pengiriman,"Pesanan PO-18964 belum sampai, sudah lewat 1 hari dari estimasi.",0.6,Eskalasi ke manajemen
TCK-00002,2026-04-01 05:00:00,PT Adi Perkasa,keterlambatan_pengiriman,"Pesanan PO-24458 belum sampai, sudah lewat 1 hari dari estimasi.",4.7,Dalam proses investigasi
TCK-00003,2026-04-01 10:00:00,PT Sinar Motor,retur_barang,Kami ingin retur PO-87874 karena salah spesifikasi saat pemesanan.,4.4,Selesai - kompensasi diberikan
TCK-00004,2026-04-01 15:00:00,PT Jaya Sentosa,keterlambatan_pengiriman,"Pesanan PO-81951 belum sampai, sudah lewat 7 hari dari estimasi.",2.6,Eskalasi ke manajemen
TCK-00005,2026-04-01 20:00:00,PT Karya Otomotif,produk_cacat,Komponen dari batch B516 datang dengan goresan di permukaan.,7.6,Selesai - unit diganti
TCK-00006,2026-04-02 01:00:00,PT Jaya Sentosa,retur_barang,Kami ingin retur PO-66754 karena salah spesifikasi saat pemesanan.,3.9,Selesai - unit diganti
TCK-00007,2026-04-02 06:00:00,PT Adi Perkasa,keterlambatan_pengiriman,"Pesanan PO-27028 belum sampai, sudah lewat 3 hari dari estimasi.",2.3,Selesai - retur diproses
TCK-00008,2026-04-02 11:00:00,PT Jaya Sentosa,produk_cacat,Beberapa unit dari batch B610 tidak berfungsi saat uji pasang.,6.0,Selesai - unit diganti
TCK-00009,2026-04-02 16:00:00,PT Sinar Motor,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-51430? Sudah telat 2 hari.,1.2,Selesai - unit diganti
TCK-00010,2026-04-02 21:00:00,PT Sinar Motor,produk_cacat,Komponen dari batch B519 datang dengan goresan di permukaan.,2.7,Dalam proses investigasi
TCK-00011,2026-04-03 02:00:00,PT Sinar Motor,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-92980? Sudah telat 7 hari.,3.3,Selesai - unit diganti
TCK-00012,2026-04-03 07:00:00,PT Karya Otomotif,keterlambatan_pengiriman,"Pesanan PO-47341 belum sampai, sudah lewat 8 hari dari estimasi.",2.1,Eskalasi ke manajemen
TCK-00013,2026-04-03 12:00:00,PT Karya Otomotif,produk_cacat,Beberapa unit dari batch B842 tidak berfungsi saat uji pasang.,4.2,Selesai - unit diganti
TCK-00014,2026-04-03 17:00:00,PT Jaya Sentosa,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-88614? Sudah telat 6 hari.,2.5,Selesai - kompensasi diberikan
TCK-00015,2026-04-03 22:00:00,PT Karya Otomotif,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-76127? Sudah telat 8 hari.,3.9,Selesai - kompensasi diberikan
TCK-00016,2026-04-04 03:00:00,PT Karya Otomotif,produk_cacat,Beberapa unit dari batch B589 tidak berfungsi saat uji pasang.,3.1,Selesai - kompensasi diberikan
TCK-00017,2026-04-04 08:00:00,PT Adi Perkasa,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-81379? Sudah telat 6 hari.,1.8,Selesai - kompensasi diberikan
TCK-00018,2026-04-04 13:00:00,PT Adi Perkasa,keterlambatan_pengiriman,"Pesanan PO-40658 belum sampai, sudah lewat 2 hari dari estimasi.",1.6,Selesai - kompensasi diberikan
TCK-00019,2026-04-04 18:00:00,PT Sinar Motor,keterlambatan_pengiriman,"Pesanan PO-58493 belum sampai, sudah lewat 8 hari dari estimasi.",3.2,Selesai - kompensasi diberikan
TCK-00020,2026-04-04 23:00:00,PT Adi Perkasa,retur_barang,Kami ingin retur PO-39308 karena salah spesifikasi saat pemesanan.,2.6,Selesai - unit diganti
TCK-00021,2026-04-05 04:00:00,PT Mitra Suku Cadang,eskalasi_kritikal,"Ini komplain ke-3 kami untuk isu yang sama, kami pertimbangkan hentikan kontrak.",0.3,Selesai - kompensasi diberikan
TCK-00022,2026-04-05 09:00:00,PT Mitra Suku Cadang,keterlambatan_pengiriman,Kapan estimasi baru untuk pengiriman PO-79609? Sudah telat 2 hari.,2.7,Selesai - retur diproses
TCK-00023,2026-04-05 14:00:00,PT Jaya Sentosa,produk_cacat,"Ukuran part pada PO-88880 tidak sesuai spesifikasi, meleset dari toleransi.",5.9,Eskalasi ke manajemen
