record_id,machine_id,original_product_id,timestamp,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,machine_failure,failure_type
REC-00001,CONV-01,M14860,2026-01-01 00:00:00,298.1,308.6,1551,42.8,0,0,No Failure
REC-00002,PRESS-01,L47181,2026-01-01 01:00:00,298.2,308.7,1408,46.3,3,0,No Failure
REC-00003,PRESS-01,L47182,2026-01-01 02:00:00,298.1,308.5,1498,49.4,5,0,No Failure
REC-00004,PRESS-01,L47183,2026-01-01 03:00:00,298.2,308.6,1433,39.5,7,0,No Failure
REC-00005,PRESS-01,L47184,2026-01-01 04:00:00,298.2,308.7,1408,40.0,9,0,No Failure
REC-00006,CONV-02,M14865,2026-01-01 05:00:00,298.1,308.6,1425,41.9,11,0,No Failure
REC-00007,PRESS-01,L47186,2026-01-01 06:00:00,298.1,308.6,1558,42.4,14,0,No Failure
REC-00008,PRESS-01,L47187,2026-01-01 07:00:00,298.1,308.6,1527,40.2,16,0,No Failure
REC-00009,CONV-01,M14868,2026-01-01 08:00:00,298.3,308.7,1667,28.6,18,0,No Failure
REC-00010,CONV-02,M14869,2026-01-01 09:00:00,298.5,309.0,1741,28.0,21,0,No Failure
REC-00011,CNC-01,H29424,2026-01-01 10:00:00,298.4,308.9,1782,23.9,24,0,No Failure
REC-00012,CNC-02,H29425,2026-01-01 11:00:00,298.6,309.1,1423,44.3,29,0,No Failure
REC-00013,CONV-01,M14872,2026-01-01 12:00:00,298.6,309.1,1339,51.1,34,0,No Failure
REC-00014,CONV-02,M14873,2026-01-01 13:00:00,298.6,309.2,1742,30.0,37,0,No Failure
REC-00015,PRESS-01,L47194,2026-01-01 14:00:00,298.6,309.2,2035,19.6,40,0,No Failure
REC-00016,PRESS-01,L47195,2026-01-01 15:00:00,298.6,309.2,1542,48.4,42,0,No Failure
REC-00017,CONV-01,M14876,2026-01-01 16:00:00,298.6,309.2,1311,46.6,44,0,No Failure
REC-00018,CONV-02,M14877,2026-01-01 17:00:00,298.7,309.2,1410,45.6,47,0,No Failure
REC-00019,CNC-03,H29432,2026-01-01 18:00:00,298.8,309.2,1306,54.5,50,0,No Failure
REC-00020,CONV-01,M14879,2026-01-01 19:00:00,298.9,309.3,1632,32.5,55,0,No Failure
REC-00021,CNC-01,H29434,2026-01-01 20:00:00,298.9,309.3,1375,42.7,58,0,No Failure
REC-00022,PRESS-01,L47201,2026-01-01 21:00:00,298.8,309.3,1450,44.8,63,0,No Failure
REC-00023,CONV-02,M14882,2026-01-01 22:00:00,298.9,309.3,1581,30.7,65,0,No Failure
REC-00024,PRESS-01,L47203,2026-01-01 23:00:00,299.0,309.4,1758,25.7,68,0,No Failure
REC-00025,CONV-01,M14884,2026-01-02 00:00:00,299.0,309.4,1561,37.3,70,0,No Failure
REC-00026,PRESS-01,L47205,2026-01-02 01:00:00,299.0,309.5,1861,23.3,73,0,No Failure
REC-00027,PRESS-01,L47206,2026-01-02 02:00:00,299.1,309.5,1512,39.0,75,0,No Failure
REC-00028,CNC-02,H29441,2026-01-02 03:00:00,299.1,309.4,1811,24.6,77,0,No Failure
